DATE,AAPL_OS_SHARES
1/15/2010,6350000000.00
4/9/2010,6370000000.00
7/9/2010,6390000000.00
10/15/2010,6420000000.00
1/7/2011,6450000000.00
4/8/2011,6470000000.00
7/8/2011,6490000000.00
10/14/2011,6510000000.00
1/13/2012,6530000000.00
4/13/2012,6550000000.00
7/13/2012,6560000000.00
10/19/2012,6580000000.00
1/11/2013,6570000000.00
4/12/2013,6570000000.00
7/12/2013,6360000000.00
10/18/2013,6300000000.00
1/10/2014,6240000000.00
4/11/2014,6030000000.00
6/9/2014,6030000000.00
7/11/2014,5990000000.00
10/10/2014,5860000000.00
1/9/2015,5820000000.00
4/10/2015,5760000000.00
7/10/2015,5700000000.00
10/9/2015,5580000000.00
1/8/2016,5540000000.00
4/8/2016,5480000000.00
7/15/2016,5390000000.00
10/14/2016,5330000000.00
1/20/2017,5250000000.00
4/21/2017,5210000000.00
7/21/2017,5170000000.00
10/20/2017,5130000000.00
1/19/2018,5070000000.00
4/20/2018,4920000000.00
7/20/2018,4830000000.00
10/26/2018,4750000000.00
