DATE,MSFT_OS_SHARES
1/25/2010,8770000000
4/19/2010,8760000000
7/20/2010,8650000000
10/22/2010,8560000000
1/21/2011,8400000000
4/21/2011,8430000000
7/20/2011,8380000000
10/17/2011,8410000000
1/17/2012,8390000000
4/17/2012,8400000000
7/18/2012,8380000000
10/15/2012,8420000000
1/18/2013,8380000000
4/11/2013,8350000000
7/18/2013,8330000000
10/16/2013,8350000000
1/17/2014,8300000000
4/17/2014,8260000000
7/22/2014,8240000000
10/16/2014,8240000000
1/22/2015,8200000000
4/16/2015,8090000000
7/27/2015,8000000000
10/15/2015,7990000000
1/22/2016,7910000000
4/15/2016,7860000000
7/25/2016,7790000000
10/14/2016,7780000000
1/20/2017,7730000000
4/21/2017,7720000000
7/31/2017,7700000000
10/20/2017,7710000000
1/26/2018,7700000000
4/20/2018,7680000000
7/31/2018,7670000000
10/19/2018,7680000000
